reference,module,titre,fichier_maquette,cadre_ou_ancre,type_de_vue,entree,sortie,formats_disponibles,etats_disponibles,statut_validation,reste_a_fournir
"B11","Business Brain","Onboarding terminé","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""B11""","page","B10","Aller au tableau de bord → C1.1","375 · 1440","5 connexions sur 6 · Business Brain partiel","validé — maquette seule","assemblage dans le prototype"
"C1.1","Tableau de bord","Tableau de bord","Lot 1 - C1.1 Tableau de bord.dc.html","fichier entier — 6 zones","page","B11 · barre latérale","cartes → C2.1 · C3.1 · C5.1","375 · 768 · 1440","plein · vide · erreur Meta · données en retard","validé — maquette + prototype","—"
"C1.2","Tableau de bord","Sélecteur de compte","Lot 1 - C1.2 Selecteur de compte.dc.html","fichier entier","panneau","en-tête → carte de compte","sélection → rechargement du contexte","375 · 1440","multi-BM · recherche · devise par compte · lecture seule","validé — maquette seule","assemblage dans le prototype"
"C2.1","Agent","Fil des recommandations","Lot 1 - Partie 3 Agent d optimisation.dc.html","bloc « C2.1 · Fil des recommandations — desktop 1440 » + bloc 375","page","barre latérale → Agent · cloche","carte → C2.2","375 · 1440","7 recommandations · carte groupée · vide · analyse en cours","validé — maquette + prototype","—"
"C2.2","Agent","Détail d'une recommandation","Lot 1 - Partie 3 Agent d optimisation.dc.html","bloc « C2.2 · Détail — panneau latéral desktop & plein écran mobile »","panneau 640 px / plein écran mobile","C2.1 → carte","Valider → C2.3 · Ignorer → C2.1","375 · 1440","repos · en cours d'application","validé — maquette + prototype","—"
"C2.3","Agent","Modale de confirmation","Lot 1 - Partie 3 Agent d optimisation.dc.html","bloc « C2.3 · Modale de confirmation — quatre variantes »","modale","C2.2 → Valider","Confirmer → C2.1 + message · Annuler → C2.2","1440","4 variantes : budget · pause · ciblage · créative","validé — maquette seule","assemblage dans le prototype"
"C2.4","Agent","Historique — réel contre estimé","Lot 1 - Partie 3 Agent d optimisation.dc.html","bloc « C2.4 · Historique — réel contre estimé »","page","C2.1 → Historique","ligne → C2.2 · Annuler une action","1440","64 recommandations · 41 appliquées · écart réel/estimé","validé — maquette seule","assemblage dans le prototype"
"C2.5","Agent","Réglages de l'agent","Lot 1 - Partie 3 Agent d optimisation.dc.html","bloc « C2.5 · Réglages de l'agent »","page","C2.1 → Réglages","enregistrer → C2.1","1440","objectifs de performance · seuils · application automatique","validé — maquette seule","assemblage dans le prototype · seuils par défaut à trancher"
"C3.1","Gestionnaire","Tableau des campagnes","Lot 2 - Tableau mobile et modele.dc.html","bloc « Le modèle · desktop 1440 — configuration campagnes (C3.1) »","page","barre latérale → Gestionnaire","nom de campagne → C3.2 · Créer → C4.1","375 · 768 · 1440","10 statuts de diffusion · sélection multiple · filtres · vide","validé — maquette + prototype","—"
"C3.2","Gestionnaire","Ensembles de publicités","Lot 2 - Tableau mobile et modele.dc.html","bloc « Ensembles de publicités (C3.2) »","onglet","C3.1 → onglet Ensembles","nom d'ensemble → C3.3","375 · 768 · 1440","3 états d'apprentissage avec phrase de pronostic","validé — maquette + prototype","—"
"C3.3","Gestionnaire","Publicités","Lot 2 - Tableau mobile et modele.dc.html","bloc « Publicités (C3.3) — deux modes »","onglet","C3.2 → onglet Publicités","bascule tableau / grille","375 · 768 · 1440","mode tableau · mode grille · fatigue · rejetée","validé — maquette + prototype","—"
"C4.1","Constructeur","Choix du mode","Lot 3 - Etape 1 Mode et brief.dc.html","bloc C4.1","étape (1/9)","C3.1 → Créer","Agent → C4.2 · Manuel → C4.4","375 · 768 · 1440","repos","validé — maquette seule","assemblage dans le prototype"
"C4.2","Constructeur","Brief et états","Lot 3 - Etape 1 Mode et brief.dc.html","bloc C4.2 · états dans « Lot 3 - Etape 5 Etats.dc.html »","étape (2/9)","C4.1","Générer → C4.3","375 · 768 · 1440","vide · en cours · brief insuffisant · crédit insuffisant","validé — maquette seule","assemblage dans le prototype"
"C4.3","Constructeur","Proposition de structure de l'agent","Lot 3 - Etape 2 Proposition agent.dc.html","fichier entier","étape (3/9)","C4.2","Accepter → C4.7 · Modifier → C4.4","375 · 768 · 1440","proposition · modifiée","validé — maquette seule","assemblage dans le prototype"
"C4.4","Constructeur","Construction manuelle — campagne","Lot 3 - Etape 3 Construction manuelle.dc.html","bloc C4.4","étape (4/9)","C4.1 · C4.3","Suivant → C4.5","375 · 768 · 1440","repos · erreurs de validation","validé — maquette seule","assemblage dans le prototype"
"C4.5","Constructeur","Ensembles et ciblage","Lot 3 - Etape 3 Construction manuelle.dc.html","bloc C4.5","étape (5/9)","C4.4","Suivant → C4.6","375 · 768 · 1440","repos · audience trop étroite","validé — maquette seule","assemblage dans le prototype"
"C4.6","Constructeur","Publicités et créatives","Lot 3 - Etape 3 Construction manuelle.dc.html","bloc C4.6","étape (6/9)","C4.5","Suivant → C4.7 · Studio → C5.1","375 · 768 · 1440","repos · créative manquante","validé — maquette seule","assemblage dans le prototype"
"C4.7","Constructeur","Récapitulatif et contrôles","Lot 3 - Etape 3 Construction manuelle.dc.html","bloc C4.7","étape (7/9)","C4.6 · C4.3","Prévisualiser → C4.8","375 · 768 · 1440","contrôles passés · avertissements · bloquants","validé — maquette seule","assemblage dans le prototype"
"C4.8","Constructeur","Prévisualisation multi-placements","Lot 3 - Etape 4 Apercu et publication.dc.html","bloc C4.8","panneau","C4.7","Publier → C4.9","375 · 768 · 1440","Fil · Reels · Stories · Audience Network","validé — maquette seule","assemblage dans le prototype"
"C4.9","Constructeur","Publication et suivi","Lot 3 - Etape 4 Apercu et publication.dc.html","bloc C4.9","page","C4.8","Voir la campagne → C3.1","375 · 768 · 1440","en cours · publiée · rejetée par Meta","validé — maquette seule","assemblage dans le prototype"
"C5.1","Studio","Point de départ et brief créatif","Lot 4 - Studio et Analyse creative.dc.html","bloc C5.1","étape","barre latérale → Studio","Générer → C5.2 / C5.3 / C5.4","375 · 768 · 1440","vide · repos","validé — maquette seule","assemblage dans le prototype"
"C5.2","Studio","Génération de textes","Lot 4 - Studio et Analyse creative.dc.html","bloc C5.2","étape","C5.1","→ C5.5","375 · 768 · 1440","en cours · résultats · échec (crédit non débité)","validé — maquette seule","assemblage dans le prototype"
"C5.3","Studio","Génération de visuels","Lot 4 - Studio et Analyse creative.dc.html","bloc C5.3","étape","C5.1","→ C5.5","375 · 768 · 1440","en cours · résultats · crédit insuffisant","validé — maquette seule","assemblage dans le prototype"
"C5.4","Studio","Génération de vidéos courtes","Lot 4 - Studio et Analyse creative.dc.html","bloc C5.4","étape","C5.1","→ C5.5","375 · 768 · 1440","en cours · résultats · crédit insuffisant","validé — maquette seule","assemblage dans le prototype"
"C5.5","Studio","Galerie de résultats","Lot 4 - Studio et Analyse creative.dc.html","bloc C5.5","page","C5.2 · C5.3 · C5.4","Retoucher → C5.6 · Envoyer → C5.7","375 · 768 · 1440","vide · pleine · sélection multiple","validé — maquette seule","assemblage dans le prototype"
"C5.6","Studio","Retouche et déclinaisons","Lot 4 - Studio et Analyse creative.dc.html","bloc C5.6","panneau","C5.5","→ C5.5","375 · 768 · 1440","repos · en cours","validé — maquette seule","assemblage dans le prototype"
"C5.7","Studio","Envoi vers une campagne","Lot 4 - Studio et Analyse creative.dc.html","bloc C5.7","modale","C5.5","→ C4.6 · → C3.3","375 · 768 · 1440","repos · aucune campagne éligible","validé — maquette seule","assemblage dans le prototype"
"C6.1","Analyse créative","Classement des créatives","Lot 4 - Studio et Analyse creative.dc.html","bloc C6.1","page","barre latérale → Analyse créative","créative → C6.2","375 · 768 · 1440","plein · vide · données insuffisantes","validé — maquette seule","assemblage dans le prototype"
"C6.2","Analyse créative","Détail d'une créative","Lot 4 - Studio et Analyse creative.dc.html","bloc C6.2","panneau","C6.1","→ C6.3 · → C6.5","375 · 768 · 1440","repos","validé — maquette seule","assemblage dans le prototype"
"C6.3","Analyse créative","Analyse par éléments","Lot 4 - Studio et Analyse creative.dc.html","bloc C6.3","onglet","C6.2","→ C6.6","375 · 768 · 1440","repos · éléments non détectés","validé — maquette seule","assemblage dans le prototype"
"C6.4","Analyse créative","Fatigue et cycle de vie","Lot 4 - Studio et Analyse creative.dc.html","bloc C6.4","onglet","C6.2","→ C6.6","375 · 768 · 1440","sain · à surveiller · fatigué","validé — maquette seule","assemblage dans le prototype"
"C6.5","Analyse créative","Comparaison de variantes","Lot 4 - Studio et Analyse creative.dc.html","bloc C6.5","page","C6.1 → sélection multiple","→ C6.6","375 · 768 · 1440","2 à 4 variantes","validé — maquette seule","assemblage dans le prototype"
"C6.6","Analyse créative","Recommandations créatives","Lot 4 - Studio et Analyse creative.dc.html","bloc C6.6","page","C6.3 · C6.4","Appliquer → C5.1 · → C2.2","375 · 768 · 1440","plein · vide","validé — maquette seule","assemblage dans le prototype"
"C8.1","Intelligence marché","Recherche de publicités","Lot 5 - Intelligence marche et Rapports.dc.html","bloc C8.1","page","barre latérale → Intelligence marché","Rechercher → C8.2","375 · 1440","vide · repos · crédit insuffisant (48 cr.)","validé — maquette seule","assemblage dans le prototype"
"C8.2","Intelligence marché","Résultats et filtres","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C8.2""","page","C8.1","publicité → C8.3","375 · 1440","résultats · aucun résultat · en cours","validé — maquette seule","assemblage dans le prototype"
"C8.3","Intelligence marché","Détail d'une publicité concurrente","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C8.3""","panneau","C8.2","Suivre → C8.5","375 · 1440","repos","validé — maquette seule","assemblage dans le prototype"
"C8.4","Intelligence marché","Angles et messages","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C8.4""","page","C8.2","angle libre → C5.1","375 · 1440","occupés · libres","validé — maquette seule","assemblage dans le prototype"
"C8.5","Intelligence marché","Suivi d'un concurrent","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C8.5""","page","C8.3","→ C8.6","375 · 1440","suivi actif · aucun suivi","validé — maquette seule","assemblage dans le prototype"
"C8.6","Intelligence marché","Alertes de marché","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C8.6""","page","C8.5 · notifications","alerte → C8.3","375 · 1440","plein · vide","validé — maquette seule","assemblage dans le prototype"
"C8.7","Intelligence marché","Synthèse sectorielle","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C8.7""","page","C8.2","→ C9.2","375 · 1440","plein · données partielles","validé — maquette seule","assemblage dans le prototype"
"C8.8","Intelligence marché","États et limites de la source","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C8.8""","page","C8.1 → en savoir plus","retour","375 · 1440","source indisponible · couverture partielle","validé — maquette seule","assemblage dans le prototype"
"C9.1","Rapports","Liste des rapports","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C9.1""","page","barre latérale → Rapports","Créer → C9.2 · rapport → C9.2","375 · 1440","plein · vide","validé — maquette seule","assemblage dans le prototype"
"C9.2","Rapports","Composition d'un rapport","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C9.2""","page","C9.1","→ C9.3","375 · 1440","repos · blocs vides","validé — maquette seule","assemblage dans le prototype"
"C9.3","Rapports","Personnalisation et marque","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C9.3""","panneau","C9.2","→ C9.4","375 · 1440","marque Lyads · marque du client","validé — maquette seule","assemblage dans le prototype"
"C9.4","Rapports","Envoi et planification","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C9.4""","modale","C9.3","Envoyer → C9.5","375 · 1440","ponctuel · planifié · échec d'envoi","validé — maquette seule","assemblage dans le prototype"
"C9.5","Rapports","Vue publique partagée","Lot 5 - Intelligence marche et Rapports.dc.html","data-screen-label=""C9.5""","page publique","lien de partage","aucune (lecture seule)","375 · 1440","valide · lien expiré · révoqué","validé — maquette seule","assemblage dans le prototype"
"C10.1","Business Brain","Fiche entreprise","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C10.1""","page","barre latérale → Business Brain","Modifier → B7","375 · 1440","complète · partielle","validé — maquette seule","assemblage dans le prototype"
"C10.2","Business Brain","Produits et offres","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C10.2""","page","C10.1","produit → C3.1 filtré","375 · 1440","4 produits, 3 avec campagnes · vide","validé — maquette seule","assemblage dans le prototype"
"C10.3","Business Brain","Historique des modifications","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C10.3""","page","C10.1","Annuler une modification","375 · 1440","24 modifications, 9 par l'agent","validé — maquette seule","assemblage dans le prototype"
"C11.1","Paramètres","Profil utilisateur","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C11.1""","page","en-tête → avatar → Paramètres","enregistrer","375 · 1440","repos · double authentification","validé — maquette seule","assemblage dans le prototype"
"C11.2","Paramètres","Comptes Meta connectés","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C11.2""","page","C11.1","Reconnecter · Révoquer","375 · 1440","connecté · jeton expiré · révoqué","validé — maquette seule","assemblage dans le prototype"
"C11.3","Paramètres","Abonnement et plan","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C11.3""","page","C11.1 · bandeau crédits","Changer de plan → A3","375 · 1440","Pro · changement en cours","validé — maquette seule","assemblage dans le prototype"
"C11.4","Paramètres","Crédits","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C11.4""","page","bandeau « Solde faible » → Racheter","Racheter","375 · 1440","solde normal · faible · épuisé","validé — maquette seule","assemblage dans le prototype"
"C11.5","Paramètres","Historique de facturation","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C11.5""","page","C11.3","télécharger une facture","375 · 1440","6 factures · échec de paiement","validé — maquette seule","assemblage dans le prototype"
"C11.6","Paramètres","Notifications","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C11.6""","page","C11.1","enregistrer","375 · 1440","matrice 9 événements × 3 canaux","validé — maquette seule","assemblage dans le prototype"
"C11.7","Paramètres","Équipe et accès","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C11.7""","page","C11.1","inviter · modifier un rôle","375 · 1440","4 membres · 4 rôles · périmètre par compte","validé — maquette seule","assemblage dans le prototype"
"C11.8","Paramètres","Déconnexion et suppression de compte","Lot 6 - Onboarding Business Brain et Parametres.dc.html","data-screen-label=""C11.8""","page","C11.1","déconnexion → A4 · suppression → A1","375 · 1440","3 niveaux de gravité","validé — maquette seule","assemblage dans le prototype"
"C7.x","—","Règles automatisées","—","—","—","—","—","—","—","absent — à concevoir","module entier : liste des règles, constructeur SI/ALORS, historique. Annoncé dans le brief et dans la barre de navigation, jamais maquetté."
